1927/1928  1        Actor|Richard Barthelmess|The Noose
                    Art Direction|Bulldog Drummond|(William Cameron Menzies)
             Winner Art Direction|King of Jazz|Herman Rosse
                    Art Direction|The Love Parade|(Hans Dreier)
                    Art Direction|Sally|(Jack Okey)
                    Art Direction|The Vagabond King|(Hans Dreier)
                    Cinematography|All Quiet on the Western Front|(Arthur Edeson)
                    Cinematography|Anna Christie|(William Daniels)
                    Cinematography|Hell's Angels|(Gaetano Gaudio), (Harry Perry)
                    Cinematography|The Love Parade|(Victor Milner)
             Winner Cinematography|With Byrd at the South Pole|Joseph T. Rucker, Willard Van Der Veer
                    Directing|Clarence Brown|Anna Christie; and Romance
                    Directing|Robert Leonard|The Divorcee
                    Directing|Ernst Lubitsch|The Love Parade
             Winner Directing|Lewis Milestone|All Quiet on the Western Front
                    Directing|King Vidor|Hallelujah
             Winner Outstanding Production|All Quiet on the Western Front|Universal
                    Outstanding Production|The Big House|Cosmopolitan
                    Outstanding Production|Disraeli|Warner Brothers
                    Outstanding Production|The Divorcee|Metro-Goldwyn-Mayer
                    Outstanding Production|The Love Parade|Paramount Famous Lasky
             Winner Sound Recording|The Big House|Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director
                    Sound Recording|The Case of Sergeant Grischa|(RKO Radio Studio Sound Department, John Tribby, Sound Director)
                    Sound Recording|The Love Parade|(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)
                    Sound Recording|Raffles|(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)
                    Sound Recording|Song of the Flame|(First National Studio Sound Department, George Groves, Sound Director)
                    Writing|All Quiet on the Western Front|(George Abbott), (Maxwell Anderson), (Del Andrews)
             Winner Writing|The Big House|Frances Marion
                    Writing|Disraeli|(Julian Josephson)
                    Writing|The Divorcee|(John Meehan)
                    Writing|Street of Chance|(Howard Estabrook)
1930/1931  4 Winner Actor|Lionel Barrymore|A Free Soul
                    Actor|Jackie Cooper|Skippy
                    Actor|Richard Dix|Cimarron
                    Actor|Fredric March|The Royal Family of Broadway
                    Actor|Adolphe Menjou|The Front Page
                    Actress|Marlene Dietrich|Morocco
             Winner Actress|Marie Dressler|Min and Bill
                    Actress|Irene Dunne|Cimarron
                    Actress|Ann Harding|Holiday
                    Actress|Norma Shearer|A Free Soul
             Winner Art Direction|Cimarron|Max Rée
                    Art Direction|Just Imagine|Stephen Goosson, Ralph Hammeras
                    Art Direction|Morocco|Hans Dreier
                    Art Direction|Svengali|Anton Grot
                    Art Direction|Whoopee!|Richard Day
                    Cinematography|Cimarron|Edward Cronjager
                    Cinematography|Morocco|Lee Garmes
                    Cinematography|The Right to Love|Charles Lang
                    Cinematography|Svengali|Barney Chick McGill
             Winner Cinematography|Tabu|Floyd Crosby
                    Directing|Cimarron|Wesley Ruggles
                    Directing|A Free Soul|Clarence Brown
                    Directing|The Front Page|Lewis Milestone
                    Directing|Morocco|Josef Von Sternberg
             Winner Directing|Skippy|Norman Taurog
             Winner Outstanding Production|Cimarron|RKO Radio
                    Outstanding Production|East Lynne|Fox
                    Outstanding Production|The Front Page|The Caddo Company
                    Outstanding Production|Skippy|Paramount Publix
                    Outstanding Production|Trader Horn|Metro-Goldwyn-Mayer
                    Sound Recording|Samuel Goldwyn - United Artists Studio Sound Department|
                    Sound Recording|Metro-Goldwyn-Mayer Studio Sound Department|
             Winner Sound Recording|Paramount Publix Studio Sound Department|
                    Sound Recording|RKO Radio Studio Sound Department|
             Winner Writing (Adaptation)|Cimarron|Howard Estabrook
                    Writing (Adaptation)|The Criminal Code|Seton I. Miller, Fred Niblo, Jr.
                    Writing (Adaptation)|Holiday|Horace Jackson
                    Writing (Adaptation)|Little Caesar|Francis Faragoh, Robert N. Lee
                    Writing (Adaptation)|Skippy|Joseph L. Mankiewicz, Sam Mintz
             Winner Writing (Original Story)|The Dawn Patrol|John Monk Saunders
                    Writing (Original Story)|The Doorway to Hell|Rowland Brown
                    Writing (Original Story)|Laughter|Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart
                    Writing (Original Story)|The Public Enemy|John Bright, Kubec Glasmon
                    Writing (Original Story)|Smart Money|Lucien Hubbard, Joseph Jackson
1931/1932  5 Winner Actor|Wallace Beery|The Champ
                    Actor|Alfred Lunt|The Guardsman
             Winner Actor|Fredric March|Dr. Jekyll and Mr. Hyde
                    Actress|Marie Dressler|Emma
                    Actress|Lynn Fontanne|The Guardsman
             Winner Actress|Helen Hayes|The Sin of Madelon Claudet
                    Art Direction|À Nous la Liberté|Lazare Meerson
                    Art Direction|Arrowsmith|Richard Day
             Winner Art Direction|Transatlantic|Gordon Wiles
                    Cinematography|Arrowsmith|Ray June
                    Cinematography|Dr. Jekyll and Mr. Hyde|Karl Struss
             Winner Cinematography|Shanghai Express|Lee Garmes
             Winner Directing|Bad Girl|Frank Borzage
                    Directing|The Champ|King Vidor
                    Directing|Shanghai Express|Josef Von Sternberg
                    Outstanding Production|Arrowsmith|Samuel Goldwyn Productions
                    Outstanding Production|Bad Girl|Fox
                    Outstanding Production|The Champ|Metro-Goldwyn-Mayer
                    Outstanding Production|Five Star Final|First National
             Winner Outstanding Production|Grand Hotel|Metro-Goldwyn-Mayer
                    Outstanding Production|One Hour with You|Paramount Publix
                    Outstanding Production|Shanghai Express|Paramount Publix
                    Outstanding Production|The Smiling Lieutenant|Paramount Publix
             Winner Short Subject (Cartoon)|Flowers and Trees|Walt Disney, Producer
                    Short Subject (Cartoon)|It's Got Me Again|Leon Schlesinger, Producer
                    Short Subject (Cartoon)|Mickey's Orphans|Walt Disney, Producer
                    Short Subject (Comedy)|The Loud Mouth|Mack Sennett, Producer
             Winner Short Subject (Comedy)|The Music Box|Hal Roach, Producer
                    Short Subject (Comedy)|Scratch-As-Catch-Can|RKO Radio
                    Short Subject (Comedy)|Stout Hearts and Willing Hands|RKO Radio
                    Short Subject (Novelty)|Screen Souvenirs|Paramount Publix
                    Short Subject (Novelty)|Swing High|Metro-Goldwyn-Mayer
             Winner Short Subject (Novelty)|Wrestling Swordfish|Mack Sennett, Producer
                    Sound Recording|Metro-Goldwyn-Mayer Studio Sound Department|
             Winner Sound Recording|Paramount Publix Studio Sound Department|
                    Sound Recording|RKO Radio Studio Sound Department|
                    Sound Recording|Warner Brothers-First National Studio Sound Department|
                    Writing (Adaptation)|Arrowsmith|Sidney Howard
             Winner Writing (Adaptation)|Bad Girl|Edwin Burke
                    Writing (Adaptation)|Dr. Jekyll and Mr. Hyde|Percy Heath, Samuel Hoffenstein
             Winner Writing (Original Story)|The Champ|Frances Marion
                    Writing (Original Story)|Lady and Gent|Grover Jones, William Slavens McNutt
                    Writing (Original Story)|The Star Witness|Lucien Hubbard
                    Writing (Original Story)|What Price Hollywood?|Adela Rogers St. Johns, Jane Murfin
             Winner Special Award|Walt Disney|“Mickey Mouse”
1932/1933  6        Actor|Leslie Howard|Berkeley Square
             Winner Actor|Charles Laughton|The Private Life of Henry VIII
                    Actor|Paul Muni|I Am a Fugitive from a Chain Gang
             Winner Actress|Katharine Hepburn|Morning Glory
                    Actress|May Robson|Lady for a Day
                    Actress|Diana Wynyard|Cavalcade
             Winner Art Direction|Cavalcade|William S. Darling
                    Art Direction|A Farewell to Arms|Hans Dreier, Roland Anderson [Second]
                    Art Direction|When Ladies Meet|Cedric Gibbons [Third]
                    Assistant Director|Percy Ikerd (Fox)|
             Winner Assistant Director|William Tummel (Fox)|
             Winner Assistant Director|Charles Dorian (Metro-Goldwyn-Mayer)|
                    Assistant Director|Bunny Dull (Metro-Goldwyn-Mayer)|
                    Assistant Director|John S. Waters (Metro-Goldwyn-Mayer)|
             Winner Assistant Director|Charles Barton (Paramount)|
                    Assistant Director|Sidney S. Brod (Paramount)|
                    Assistant Director|Arthur Jacobson (Paramount)|
                    Assistant Director|Eddie Killey (RKO Radio)|
             Winner Assistant Director|Dewey Starkey (RKO Radio)|
             Winner Assistant Director|Fred Fox (United Artists)|
                    Assistant Director|Benjamin Silvey (United Artists)|
             Winner Assistant Director|Scott Beal (Universal)|
                    Assistant Director|Joe McDonough (Universal)|
                    Assistant Director|W. J. Reiter (Universal)|
                    Assistant Director|Al Alborn (Warner Brothers)|
             Winner Assistant Director|Gordon Hollingshead (Warner Brothers)|
                    Assistant Director|Frank X. Shaw (Warner Brothers)|
             Winner Cinematography|A Farewell to Arms|Charles Bryant Lang, Jr.
                    Cinematography|Reunion in Vienna|George J. Folsey [Second]
                    Cinematography|The Sign of the Cross|Karl Struss [Third]
             Winner Directing|Cavalcade|Frank Lloyd
                    Directing|Lady for a Day|Frank Capra [Second]
                    Directing|Little Women|George Cukor [Third]
             Winner Outstanding Production|Cavalcade|Fox
                    Outstanding Production|A Farewell to Arms|Paramount [Second]
                    Outstanding Production|42nd Street|Warner Brothers
                    Outstanding Production|I Am a Fugitive from a Chain Gang|Warner Brothers
                    Outstanding Production|Lady for a Day|Columbia
                    Outstanding Production|Little Women|RKO Radio [Third]
                    Outstanding Production|The Private Life of Henry VIII|London Films
                    Outstanding Production|She Done Him Wrong|Paramount
                    Outstanding Production|Smilin' Through|Metro-Goldwyn-Mayer
                    Outstanding Production|State Fair|Fox
                    Short Subject (Cartoon)|Building a Building|Walt Disney, Producer [Second]
                    Short Subject (Cartoon)|The Merry Old Soul|Walter Lantz, Producer [Third]
             Winner Short Subject (Cartoon)|The Three Little Pigs|Walt Disney, Producer
                    Short Subject (Comedy)|Mister Mugg|Warren Doane, Producer [Third]
                    Short Subject (Comedy)|A Preferred List|Louis Brock, Producer [Second]
             Winner Short Subject (Comedy)|So This Is Harris|Louis Brock, Producer
             Winner Short Subject (Novelty)|Krakatoa|Joe Rock, Producer
                    Short Subject (Novelty)|Menu|Pete Smith, Producer [tied for 2nd]
                    Short Subject (Novelty)|The Sea|Educational [tied for 2nd]
             Winner Sound Recording|A Farewell to Arms|Paramount Studio Sound Department, Franklin B. Hansen, Sound Director
                    Sound Recording|42nd Street|Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director
                    Sound Recording|Gold Diggers of 1933|Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director [Third]
                    Sound Recording|I Am a Fugitive from a Chain Gang|Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director [Second]
                    Writing (Adaptation)|Lady for a Day|Robert Riskin [Second]
             Winner Writing (Adaptation)|Little Women|Victor Heerman, Sarah Y. Mason
                    Writing (Adaptation)|State Fair|Paul Green, Sonya Levien [Third]
             Winner Writing (Original Story)|One Way Passage|Robert Lord
                    Writing (Original Story)|The Prizefighter and the Lady|Frances Marion [Second]
                    Writing (Original Story)|Rasputin and the Empress|Charles MacArthur [Third]
1934       7 Winner Actor|Clark Gable|It Happened One Night
                    Actor|Frank Morgan|The Affairs of Cellini
                    Actor|William Powell|The Thin Man
             Winner Actress|Claudette Colbert|It Happened One Night
                    Actress|Bette Davis|Of Human Bondage
                    Actress|Grace Moore|One Night of Love
                    Actress|Norma Shearer|The Barretts of Wimpole Street
                    Art Direction|The Affairs of Cellini|Richard Day [Third]
                    Art Direction|The Gay Divorcee|Van Nest Polglase, Carroll Clark [Second]
             Winner Art Direction|The Merry Widow|Cedric Gibbons, Fredric Hope
                    Assistant Director|Cleopatra|Cullen Tate [Second]
                    Assistant Director|Imitation of Life|Scott Beal [Third]
             Winner Assistant Director|Viva Villa!|John Waters
                    Cinematography|The Affairs of Cellini|Charles Rosher [Third]
             Winner Cinematography|Cleopatra|Victor Milner
                    Cinematography|Operator 13|George Folsey [Second]
             Winner Directing|It Happened One Night|Frank Capra
                    Directing|One Night of Love|Victor Schertzinger [Third]
                    Directing|The Thin Man|W. S. Van Dyke [Second]
                    Film Editing|Cleopatra|Anne Bauchens [Third]
             Winner Film Editing|Eskimo|Conrad Nervig
                    Film Editing|One Night of Love|Gene Milford [Second]
                    Music (Scoring)|The Gay Divorcee|RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein) [Second]
                    Music (Scoring)|The Lost Patrol|RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner) [Third]
             Winner Music (Scoring)|One Night of Love|Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)
                    Music (Song)|"""Carioca"" from Flying Down to Rio"|Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn [Third]
             Winner Music (Song)|"""The Continental"" from The Gay Divorcee"|Music by Con Conrad; Lyrics by Herb Magidson
                    Music (Song)|"""Love In Bloom"" from She Loves Me Not"|Music by Ralph Rainger; Lyrics by Leo Robin [Second]
                    Outstanding Production|The Barretts of Wimpole Street|Metro-Goldwyn-Mayer [Second]
                    Outstanding Production|Cleopatra|Paramount
                    Outstanding Production|Flirtation Walk|First National
                    Outstanding Production|The Gay Divorcee|RKO Radio
                    Outstanding Production|Here Comes the Navy|Warner Brothers
                    Outstanding Production|The House of Rothschild|20th Century [Third]
                    Outstanding Production|Imitation of Life|Universal
             Winner Outstanding Production|It Happened One Night|Columbia
                    Outstanding Production|One Night of Love|Columbia
                    Outstanding Production|The Thin Man|Metro-Goldwyn-Mayer
                    Outstanding Production|Viva Villa!|Metro-Goldwyn-Mayer
                    Outstanding Production|The White Parade|Jesse L. Lasky (production company)
                    Short Subject (Cartoon)|Holiday Land|Charles Mintz, Producer [Third]
                    Short Subject (Cartoon)|Jolly Little Elves|Walter Lantz, Producer [Second]
             Winner Short Subject (Cartoon)|The Tortoise and the Hare|Walt Disney, Producer
             Winner Short Subject (Comedy)|La Cucaracha|Kenneth Macgowan, Producer
                    Short Subject (Comedy)|Men in Black|Jules White, Producer [Third]
                    Short Subject (Comedy)|What, No Men!|Warner Brothers [Second]
                    Short Subject (Novelty)|Bosom Friends|Skibo Productions [Third]
             Winner Short Subject (Novelty)|City of Wax|Stacy Woodard and Horace Woodard, Producers
                    Short Subject (Novelty)|Strikes and Spares|Pete Smith, Producer [Second]
                    Sound Recording|The Affairs of Cellini|United Artists Studio Sound Department, Thomas T. Moulton, Sound Director
                    Sound Recording|Cleopatra|Paramount Studio Sound Department, Franklin B. Hansen, Sound Director
                    Sound Recording|Flirtation Walk|Warner Brothers-First National Studio Sound Department, Nathan Levinson, Sound Director [Second]
                    Sound Recording|The Gay Divorcee|RKO Radio Studio Sound Department, Carl Dreher, Sound Director [Third]
                    Sound Recording|Imitation of Life|Universal Studio Sound Department, Theodore Soderberg, Sound Director
             Winner Sound Recording|One Night of Love|Columbia Studio Sound Department, John Livadary, Sound Director
                    Sound Recording|Viva Villa!|Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director
                    Sound Recording|The White Parade|Fox Studio Sound Department, E. H. Hansen, Sound Director
             Winner Writing (Adaptation)|It Happened One Night|Robert Riskin
                    Writing (Adaptation)|The Thin Man|Frances Goodrich, Albert Hackett [Second]
                    Writing (Adaptation)|Viva Villa!|Ben Hecht [Third]
                    Writing (Original Story)|Hide-Out|Mauri Grashin [Third]
             Winner Writing (Original Story)|Manhattan Melodrama|Arthur Caesar
                    Writing (Original Story)|The Richest Girl in the World|Norman Krasna [Second]
             Winner Special Award|Shirley Temple|
1935       8        Actor|Clark Gable|Mutiny on the Bounty
                    Actor|Charles Laughton|Mutiny on the Bounty
             Winner Actor|Victor McLaglen|The Informer
                    Actor|Paul Muni|Black Fury
                    Actor|Franchot Tone|Mutiny on the Bounty
                    Actress|Elisabeth Bergner|Escape Me Never
                    Actress|Claudette Colbert|Private Worlds
             Winner Actress|Bette Davis|Dangerous
                    Actress|Katharine Hepburn|Alice Adams
                    Actress|Miriam Hopkins|Becky Sharp
                    Actress|Merle Oberon|The Dark Angel
             Winner Art Direction|The Dark Angel|Richard Day
                    Art Direction|The Lives of a Bengal Lancer|Hans Dreier, Roland Anderson [Third]
                    Art Direction|Top Hat|Van Nest Polglase, Carroll Clark [Second]
                    Assistant Director|David Copperfield|Joseph Newman [Third]
                    Assistant Director|Les Miserables|Eric Stacey
             Winner Assistant Director|The Lives of a Bengal Lancer|Clem Beauchamp, Paul Wing
                    Assistant Director|A Midsummer Night's Dream|Sherry Shourds [Second]
                    Cinematography|Barbary Coast|Ray June
                    Cinematography|The Crusades|Victor Milner [Third]
                    Cinematography|Les Miserables|Gregg Toland [Second]
             Winner Cinematography|A Midsummer Night's Dream|Hal Mohr
                    Dance Direction|Busby Berkeley|Lullaby of Broadway and The Words Are In My Heart numbers from Gold Diggers of 1935 [Third]
                    Dance Direction|Bobby Connolly|Latin from Manhattan number from Go into Your Dance
                    Dance Direction|Bobby Connolly|Latin from Manhattan number from Go into Your Dance; and Playboy from Paree number from Broadway Hostess
             Winner Dance Direction|Dave Gould|I've Got a Feeling You're Fooling number from Broadway Melody of 1936; and Straw Hat number from Folies Bergere
                    Dance Direction|Sammy Lee|Lovely Lady and Too Good To Be True numbers from King of Burlesque
                    Dance Direction|Hermes Pan|Piccolino and Top Hat, White Tie, and Tails numbers from Top Hat [Second]
                    Dance Direction|LeRoy Prinz|It's the Animal in Me number from Big Broadcast of 1936; and Viennese Waltz number from All the King's Horses
                    Dance Direction|Benjamin Zemach|Hall of Kings number from She
                    Directing|Captain Blood|Michael Curtiz [Second]
             Winner Directing|The Informer|John Ford
                    Directing|The Lives of a Bengal Lancer|Henry Hathaway [Third]
                    Directing|Mutiny on the Bounty|Frank Lloyd
                    Film Editing|David Copperfield|Robert J. Kern
                    Film Editing|The Informer|George Hively [Third]
                    Film Editing|Les Miserables|Barbara McLean
                    Film Editing|The Lives of a Bengal Lancer|Ellsworth Hoagland
             Winner Film Editing|A Midsummer Night's Dream|Ralph Dawson
                    Film Editing|Mutiny on the Bounty|Margaret Booth [Second]
                    Music (Scoring)|Captain Blood|Warner Brothers-First National Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold) [Third]
             Winner Music (Scoring)|The Informer|RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)
                    Music (Scoring)|Mutiny on the Bounty|Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department  (Score by Herbert Stothart) [Second]
                    Music (Scoring)|Peter Ibbetson|Paramount Studio Music Department, Irvin Talbot, head of department  (Score by Ernst Toch)
                    Music (Song)|"""Cheek To Cheek"" from Top Hat"|Music and Lyrics by Irving Berlin [Second]
                    Music (Song)|"""Lovely To Look At"" from Roberta"|Music by Jerome Kern; Lyrics by Dorothy Fields and Jimmy McHugh [Third]
             Winner Music (Song)|"""Lullaby Of Broadway"" from Gold Diggers of 1935"|Music by Harry Warren; Lyrics by Al Dubin
                    Outstanding Production|Alice Adams|RKO Radio
                    Outstanding Production|Broadway Melody of 1936|Metro-Goldwyn-Mayer
                    Outstanding Production|Captain Blood|Cosmopolitan [Third]
                    Outstanding Production|David Copperfield|Metro-Goldwyn-Mayer
                    Outstanding Production|The Informer|RKO Radio [Second]
                    Outstanding Production|Les Miserables|20th Century
                    Outstanding Production|The Lives of a Bengal Lancer|Paramount
                    Outstanding Production|A Midsummer Night's Dream|Warner Brothers
             Winner Outstanding Production|Mutiny on the Bounty|Metro-Goldwyn-Mayer
                    Outstanding Production|Naughty Marietta|Metro-Goldwyn-Mayer
                    Outstanding Production|Ruggles of Red Gap|Paramount
                    Outstanding Production|Top Hat|RKO Radio
                    Short Subject (Cartoon)|The Calico Dragon|Harman-Ising [Third]
             Winner Short Subject (Cartoon)|Three Orphan Kittens|Walt Disney, Producer
                    Short Subject (Cartoon)|Who Killed Cock Robin?|Walt Disney, Producer [Second]
             Winner Short Subject (Comedy)|How to Sleep|Jack Chertok, Producer
                    Short Subject (Comedy)|Oh, My Nerves|Jules White, Producer [Second]
                    Short Subject (Comedy)|Tit for Tat|Hal Roach, Producer [Third]
                    Short Subject (Novelty)|Audioscopiks|Pete Smith, Producer [tied for 2nd]
                    Short Subject (Novelty)|Camera Thrills|Universal [tied for 2nd]
             Winner Short Subject (Novelty)|Wings over Mt. Everest|Gaumont British and Skibo Productions
                    Sound Recording|Bride of Frankenstein|Universal Studio Sound Department, Gilbert Kurland, Sound Director
                    Sound Recording|Captain Blood|Warner Brothers-First National Studio Sound Department, Nathan Levinson, Sound Director [Second]
                    Sound Recording|The Dark Angel|United Artists Studio Sound Department, Thomas T. Moulton, Sound Director
                    Sound Recording|I Dream Too Much|RKO Radio Studio Sound Department, Carl Dreher, Sound Director
                    Sound Recording|The Lives of a Bengal Lancer|Paramount Studio Sound Department, Franklin B. Hansen, Sound Director [Third]
                    Sound Recording|Love Me Forever|Columbia Studio Sound Department, John Livadary, Sound Director
             Winner Sound Recording|Naughty Marietta|Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director
                    Sound Recording|$1,000 a Minute|Republic Studio Sound Department
                    Sound Recording|Thanks a Million|20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director
                    Writing (Original Story)|Broadway Melody of 1936|Moss Hart [Third]
                    Writing (Original Story)|G-Men|Gregory Rogers [Second]
                    Writing (Original Story)|The Gay Deception|Don Hartman, Stephen Avery
             Winner Writing (Original Story)|The Scoundrel|Ben Hecht, Charles MacArthur
                    Writing (Screenplay)|Captain Blood|Casey Robinson [Third]
             Winner Writing (Screenplay)|The Informer|Dudley Nichols
                    Writing (Screenplay)|The Lives of a Bengal Lancer|Screenplay by Waldemar Young, John L. Balderston, Achmed Abdullah; Adaptation by Grover Jones, William Slavens McNutt
                    Writing (Screenplay)|Mutiny on the Bounty|Talbot Jennings, Jules Furthman, Carey Wilson [Second]
             Winner Special Award|David Wark Griffith|
1936       9        Actor|Gary Cooper|Mr. Deeds Goes to Town
                    Actor|Walter Huston|Dodsworth
             Winner Actor|Paul Muni|The Story of Louis Pasteur
                    Actor|William Powell|My Man Godfrey
                    Actor|Spencer Tracy|San Francisco
                    Actor in a Supporting Role|Mischa Auer|My Man Godfrey
             Winner Actor in a Supporting Role|Walter Brennan|Come and Get It
                    Actor in a Supporting Role|Stuart Erwin|Pigskin Parade
                    Actor in a Supporting Role|Basil Rathbone|Romeo and Juliet
                    Actor in a Supporting Role|Akim Tamiroff|The General Died at Dawn
                    Actress|Irene Dunne|Theodora Goes Wild
                    Actress|Gladys George|Valiant Is the Word for Carrie
                    Actress|Carole Lombard|My Man Godfrey
             Winner Actress|Luise Rainer|The Great Ziegfeld
                    Actress|Norma Shearer|Romeo and Juliet
                    Actress in a Supporting Role|Beulah Bondi|The Gorgeous Hussy
                    Actress in a Supporting Role|Alice Brady|My Man Godfrey
                    Actress in a Supporting Role|Bonita Granville|These Three
                    Actress in a Supporting Role|Maria Ouspenskaya|Dodsworth
             Winner Actress in a Supporting Role|Gale Sondergaard|Anthony Adverse
                    Art Direction|Anthony Adverse|Anton Grot
             Winner Art Direction|Dodsworth|Richard Day
                    Art Direction|The Great Ziegfeld|Cedric Gibbons, Eddie Imazu, Edwin B. Willis
                    Art Direction|Lloyds of London|William S. Darling
                    Art Direction|The Magnificent Brute|Albert S. D'Agostino, Jack Otterson
                    Art Direction|Romeo and Juliet|Cedric Gibbons, Fredric Hope, Edwin B. Willis
                    Art Direction|Winterset|Perry Ferguson
                    Assistant Director|Anthony Adverse|William Cannon
             Winner Assistant Director|The Charge of the Light Brigade|Jack Sullivan
                    Assistant Director|The Garden of Allah|Eric G. Stacey
                    Assistant Director|The Last of the Mohicans|Clem Beauchamp
